Account Name,Drive Date,Public,Shift Time(s),Proj
Tumwater Timberland Library,3/29/19,Yes,10:00 am- 4:00 pm,17/17
Walmart Cottage Grove,3/29/19,Yes,11:00 am- 5:00 pm,13/13
Waterfront Park Community Center,3/29/19,Yes,12:00 pm- 6:00 pm,15/15
Bethel Library - West Eugene Community,3/30/19,Yes,10:00 am- 4:00 pm,9/9
Coburg Road Community @ Papa's Pizza,3/30/19,Yes,11:00 am- 5:00 pm,12/12
East Baha'i Center,3/30/19,Yes,10:00 am- 4:00 pm,27/27
Fred Meyer Burlington near Cascade Mall,3/30/19,Yes, 8:00 am- 2:00 pm,18/18
Holy Family -  Kirkland,3/30/19,Yes, 9:00 am- 3:00 pm,26/26
Safeway Issaquah Highlands,3/30/19,Yes, 9:00 am- 3:00 pm,17/17
Word of Life Marysville,3/30/19,Yes, 9:00 am- 3:00 pm,17/17
Westminster Presbyterian,3/31/19,Yes, 9:00 am-12:00 pm,10/10
